"CRASH_UNIT_ID","CRASH_RECORD_ID","RD_NO","CRASH_DATE","UNIT_NO","UNIT_TYPE","NUM_PASSENGERS","VEHICLE_ID","CMRC_VEH_I","MAKE","MODEL","LIC_PLATE_STATE","VEHICLE_YEAR","VEHICLE_DEFECT","VEHICLE_TYPE","VEHICLE_USE","TRAVEL_DIRECTION","MANEUVER","TOWED_I","FIRE_I","OCCUPANT_CNT","EXCEED_SPEED_LIMIT_I","TOWED_BY","TOWED_TO","AREA_00_I","AREA_01_I","AREA_02_I","AREA_03_I","AREA_04_I","AREA_05_I","AREA_06_I","AREA_07_I","AREA_08_I","AREA_09_I","AREA_10_I","AREA_11_I","AREA_12_I","AREA_99_I","FIRST_CONTACT_POINT","CMV_ID","USDOT_NO","CCMC_NO","ILCC_NO","COMMERCIAL_SRC","GVWR","CARRIER_NAME","CARRIER_STATE","CARRIER_CITY","HAZMAT_PLACARDS_I","HAZMAT_NAME","UN_NO","HAZMAT_PRESENT_I","HAZMAT_REPORT_I","HAZMAT_REPORT_NO","MCS_REPORT_I","MCS_REPORT_NO","HAZMAT_VIO_CAUSE_CRASH_I","MCS_VIO_CAUSE_CRASH_I","IDOT_PERMIT_NO","WIDE_LOAD_I","TRAILER1_WIDTH","TRAILER2_WIDTH","TRAILER1_LENGTH","TRAILER2_LENGTH","TOTAL_VEHICLE_LENGTH","AXLE_CNT","VEHICLE_CONFIG","CARGO_BODY_TYPE","LOAD_TYPE","HAZMAT_OUT_OF_SERVICE_I","MCS_OUT_OF_SERVICE_I","HAZMAT_CLASS"
"54","0ecbc94e9e6a01f8d1fadca458d84be6d51ef9d42b1f4c2f4367a2388fef03451e8bcd7a797f7dfb84f03cf362f81e56429ac15787893f6350e7166d54ad9cff","HY372069","08/06/2015 06:00:00 PM","2","PARKED",NULL,"53.0",NULL,"LINCOLN-CONTINENTAL","MKX","IL","2008.0","NONE","PASSENGER","NOT IN USE","N","PARKED",NULL,NULL,"0.0",NULL,NULL,NULL,NULL,NULL,NULL,"Y","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR-RIGHT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"145","7bd0f17b2a365cb53396bf29ac78123c1c258465aa0f1773c792a03d1b36f98e92f60a8ebb87ebaee5f957a3e9813b9aa5ac4f6430498bc0e3a64167765e7165","HY376728","08/10/2015 02:15:00 PM","2","DRIVER",NULL,"141.0",NULL,"MERCEDES-BENZ","C250","IL","2013.0","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"257","07155af1c0a71c36e32ab53f86b525d929154b3d7290ae0830b7baa834c7c6f2b22e14a6656406ccad8685bf5f9ac54b058dce68d7122bd468729a941f1c3a97","HY383388","08/15/2015 12:10:00 PM","1","DRIVER",NULL,"247.0",NULL,"MERCEDES-BENZ","GLK220","IL","2015.0","NONE","PASSENGER","OTHER","E","STRAIGHT AHEAD",NULL,NULL,"1.0",NULL,NULL,NULL,"N","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRONT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"283","6a54948070f52dcfc8682fc14a374871b76561244c2383fcb89004ebe418262f56c7249c1dfe00f1206dc7d8017d39da4ca23015e6739c668e12cddd302038ee","HY385182","08/16/2015 07:00:00 PM","2","DRIVER","5.0","270.0",NULL,"TOYOTA MOTOR COMPANY, LTD.","CAMRY","IL","2014.0","NONE","PASSENGER","PERSONAL","W","SLOW/STOP - RIGHT TURN",NULL,NULL,"6.0",NULL,NULL,NULL,NULL,"Y","Y",NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,"FRONT-LEFT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"327","0ff295104810bc4e8d6c15e4fc92a5beb3768c792bb995b80bf2fe3904e6d30390fce363ae8b4c99a0c48cca42697d43a385b8b654cfea77d59a7c11342fc664","HY386474","08/16/2015 01:45:00 PM","2","PARKED",NULL,"312.0",NULL,"LEXUS","RX350","IL","2015.0","NONE","SPORT UTILITY VEHICLE (SUV)","OTHER","N","PARKED",NULL,NULL,"0.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N","Y","N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"456","497ee0da1507d49c1d13b5544c6d29accb42135494cd93925f0557f0e8f9513c9ca0de862ae12c9aa011106a8b2b4b548b29fefcf1773a571ea5f00262068a2c","HY390815","08/20/2015 07:00:00 PM","2","DRIVER",NULL,"435.0",NULL,"FORD","FORD-TRUCK,VAN,SUV, ETC","IL","2010.0","NONE","VAN/MINI-VAN","COMMERCIAL - MULTI-UNIT","W","STRAIGHT AHEAD",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"524","7aa347e0ea02f41d7b3c50083a8b359145ace7f7dea28a535b7985d80c9a96bf6c17cb366cf08b9c17795064fea1505de042d5027a837fed5c7aef71f5432688","HY393132","08/22/2015 02:45:00 PM","2","DRIVER",NULL,"499.0",NULL,"HONDA","ACCORD","IL","2008.0","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"REAR-LEFT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"691","a10ffa1d97f790266506f3294469ac3e8eee787eb7f9b5817e1569850555179ffb7de36147a7370f3992e6c3b495fae830ea11671380c31e3cf5418631d656cf","HY398246","08/26/2015 05:00:00 AM","2","PARKED",NULL,"660.0",NULL,"DODGE","CHARGER","IL","2012.0","NONE","PASSENGER","NOT IN USE","W","PARKED",NULL,NULL,"0.0",NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FRONT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"719","222125199d9439a5a52603f49b97cf60079277ee4d2ff458aeaea1ec21054c7a0289c514a176b62370c89d3307251632e0d587246c30a3771c4cf4efa91bae35","HY399668","08/27/2015 03:10:00 PM","2","DRIVER",NULL,"686.0",NULL,"NISSAN","NISSAN ALTIMA","IL","2013.0","UNKNOWN","PASSENGER","PERSONAL","W","SLOW/STOP IN TRAFFIC",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",NULL,NULL,NULL,NULL,NULL,"FRONT-RIGHT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1203","11d5a650500c98b7e613637d4f9a04c74776d4658431bc9380b435b8c4235adca6b73bf174caf79a3237f6a9a981d1d3ffe4682429ce81844a2ec5e8c16323db","HY410761","09/04/2015 08:27:00 PM","2","DRIVER",NULL,"1147.0",NULL,"JEEP","UNKNOWN","IL","2014.0","NONE","SPORT UTILITY VEHICLE (SUV)","PERSONAL","W","STRAIGHT AHEAD",NULL,NULL,"1.0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","Y",NULL,NULL,NULL,NULL,"Y",NULL,NULL,"TOTAL (ALL AREAS)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
